countryCode,etlTable,canonicalName,etlFingerPrint,legalStatus,id
,representative,"CLECAT - European association for forwarding, transport, logistic and Customs services","CLECAT - European association for forwarding, transport, logistic and Customs services",INPA,65
,representative,European Association for the Co-ordination of Consumer Representation in Standardisation,European Association for the Co-ordination of Consumer Representation in Standardisation,AISBL,66
,representative,Electrolux Home Products Corporation,Electrolux Home Products Corporation,Naamloze Vennootschap,67
,representative,World Federation of Advertisers,World Federation of Advertisers,AISBL,68
,representative,Bundesverband Neuer Energieanbieter e.V.,Bundesverband Neuer Energieanbieter e.V.,eingetragener Verein (registered association),69
,representative,Call Center Verband Deutschland e.V.,Call Center Verband Deutschland e.V.,Verband,70
,representative,Verband Beratender Ingenieure,Verband Beratender Ingenieure,e.V,71
,representative,Hospodářská komora České republiky,Hospodářská komora České republiky,"právnická osoba, jejíž poslání je upraveno zákonem č. 301/1992 Sb.",72
,representative,Bundesarbeitsgemeinschaft Deutscher Kommunalversicherer,Bundesarbeitsgemeinschaft Deutscher Kommunalversicherer,Gesellschaft Bürgerlichen Rechts,73
,representative,European Confederation of Woodworking Industries aisbl,European Confederation of Woodworking Industries aisbl,International non-profit association,74
,representative,ARCI CULTURA E SVILUPPO,ARCI CULTURA E SVILUPPO,ONLUS,75
,representative,Schmack Biogas GmbH,Schmack Biogas GmbH,GmbH,76
,representative,European Spas Association,European Spas Association,A.I.S.B.L.,77
,representative,ENEL SpA,ENEL SpA,Publicly listed corporation,78
,representative,VOTUM Verband Unabhängiger Finanzdienstleistungs-Unternehmen in Europa e. V.,VOTUM Verband Unabhängiger Finanzdienstleistungs-Unternehmen in Europa e. V.,eingetragener Verein,79
,representative,Gesamtverband der Deutschen Versicherungswirtschaft e.V.,Gesamtverband der Deutschen Versicherungswirtschaft e.V.,eingetragener Verein,80
,representative,Strukton Rail B.V.,Strukton Rail,Besloten Vennootschap,81
,representative,Movimento Nazionale Liberi Farmacisti,Movimento Nazionale Liberi Farmacisti,Associazione senza fini di lucro,82
,representative,Association Luxembourgeoise des Fonds d'Investissement,Association Luxembourgeoise des Fonds d'Investissement,association sans but lucratif (a.s.b.l.),83
,representative,Bundesverband Sekundärrohstoffe und Entsorgung,Bundesverband Sekundärrohstoffe und Entsorgung,eingetragener Verein,84
,representative,Athenora Consulting,Athenora Consulting,Belgium registered company,85
,representative,PERNOD RICARD,PERNOD RICARD,Société Anonyme,86
,representative,UGAL - Union des Groupements de Détaillants indépendants de l'Europe a.i.s.b.l.,UGAL - Union des Groupements de Détaillants indépendants de l'Europe a.i.s.b.l.,a.i.s.b.l. - Association internationale sans but lucratif,87
,representative,Taxpayers Association of Europe,Taxpayers Association of Europe,Non Profit Organisation,88
,representative,Council of Geopolitics,Council of Geopolitics,alapítvány,89
,representative,GLYPHE Conseil S.A.R.L.,GLYPHE Conseil S.A.R.L.,S.A.R.L.,90
,representative,Fédération des Experts comptables Européens,Fédération des Experts comptables Européens,Association internationale sans but lucratif,91
,representative,Ausstellungs- und Messe-Ausschuss der Deutschen Wirtschaft e.V.,Ausstellungs- und Messe-Ausschuss der Deutschen Wirtschaft e.V.,e.V.,92
,representative,Advokatfirmaet Frederik Madsen,Advokatfirmaet Frederik Madsen,Advokatfirmaet Frederik Madsen,93
,representative,Bundesverband der Freien Berufe,Bundesverband der Freien Berufe,Nicht eingetragener Verein,94
,representative,The Lisbon Council for Economic Competitiveness and Social Renewal ASBL,The Lisbon Council for Economic Competitiveness and Social Renewal asbl,asbl,95
,representative,Freshfel Europe - the forum for the European fresh fruits and vegetables chain,Freshfel Europe - the forum for the European fresh fruits and vegetables chain,Non for profit organisation,96
,representative,Ygomi Europe Kft,Ygomi Europe Kft,Private company,97
,representative,European Heart Network,European Heart Network,A.I.S.B.L.,98
,representative,"Association des Banques et Banquiers, Luxembourg","Association des Banques et Banquiers, Luxembourg",association sans but lucratif (a.sb.b.l.),99
,representative,Vlaamse Radio- en Televisieomroeporganisatie,Vlaamse Radio- en Televisieomroeporganisatie,NV van publiek recht,100
,representative,International Dalit Solidarity Network,International Dalit Solidarity Network,Non-governmental organisation,101
,representative,European Anti Poverty Network,European Anti Poverty Network,International Association under Belgian Law,102
,representative,Svenska Fondhandlareföreningen,Svenska Fondhandlareföreningen,Ideell förening,103
,representative,Association Française des Marchés Financiers,Association Française des Marchés Financiers,"Association, Loi 1901",104
,representative,F.I.R.M - International Association of Engine Rebuilders and Remanufacturers,F.I.R.M - International Association of Engine Rebuilders and Remanufacturers,Non profit Association,105
,representative,American Chamber of Commerce to the European Union (AmCham EU),American Chamber of Commerce to the European Union,Association sans but lucratif (a.s.b.l.) – Non-profit association,106
,representative,Association des régions européennes des produits d'origine,Association des régions européennes des produits d'origine,association française loi 1901,107
,representative,Institut de la Protection sociale Européenne,Institut de la Protection sociale Européenne,association  loi 1901,108
,representative,FUNDACION ALZHEIMER ASTURIAS,FUNDACION ALZHEIMER ASTURIAS,FUNDACION,109
,representative,PLATAFORMA DE ONG DE ACCION SOCIAL,PLATAFORMA DE ONG DE ACCION SOCIAL,ASOCIACION,110
,representative,Quaker Council for European Affairs,Quaker Council for European Affairs,AISBL,111
,representative,Confédération Fiscale Européenne,Confédération Fiscale Européenne,International non-profit organisation under Belgian law (aisbl),112
,representative,Deutsche Lufthansa AG,Deutsche Lufthansa AG,Aktiengesellschaft,113
,representative,CONFEDERACION ESPAÑOLA DE TRANSPORTE DE MERCANCIAS,CONFEDERACION ESPAÑOLA DE TRANSPORTE DE MERCANCIAS,ASOCIACION PROFESIONAL,114
,representative,Associazione Italiana Lattiero-Casearia,Associazione Italiana Lattiero-Casearia,associazione senza scopo di lucro,115
,representative,BP P.L.C.,BP p.l.c.,Public Limited Company,116
,representative,Gesamtverband textil+mode,Gesamtverband textil+mode,eingetragener Verein,117
,representative,European Quality Assurance Association for Panels and Profiles,European Quality Assurance Association for Panels and Profiles,e.V.,118
